"id","hoard","hoardName","latitude","longitude","country","terminalYear1","terminalYear2","RIC Reference","OCRE Reference","period","reign","person","mint","denomination","material","startingDate","endingDate","dateText","issue","officina","obverseInscription","obverseMintMark","obverseDescription","reverseInscription","reverseMintMark","reverseDescription","weight","quantity","diameter","axis","imitation","latestCoin","intruder","toCheck","condition","aspects","additionalFields","container","comment"
"263047","12933","ALDEIA DAS DEZ","40.294","-7.865","Portugal","268","270","","","Imperial","Trebonianus Gallus","Volusian (Augustus)","Rome","Antoninianus (radiate)","Base Silver","","","","","","","","","","","","","1","","","","","","","","","","",""
"263048","12933","ALDEIA DAS DEZ","40.294","-7.865","Portugal","268","270","","","Imperial","Valerian I and Gallienus","Valerian I (Augustus)","Rome","Antoninianus (radiate)","Base Silver","","","","","","","","","","","","","3","","","","","","","","","","",""
"263049","12933","ALDEIA DAS DEZ","40.294","-7.865","Portugal","268","270","","","Imperial","Valerian I and Gallienus","Valerian I (Augustus)","Milan (Mediolanum)","Antoninianus (radiate)","Base Silver","","","","","","","","","","","","","1","","","","","","","","","","",""
"263050","12933","ALDEIA DAS DEZ","40.294","-7.865","Portugal","268","270","","","Imperial","Valerian I and Gallienus","Valerian II (Divus)","Rome","Antoninianus (radiate)","Base Silver","","","","","","","","","","","","","1","","","","","","","","","","",""
"263051","12933","ALDEIA DAS DEZ","40.294","-7.865","Portugal","268","270","","","Imperial","Gallienus (sole)","Gallienus (Augustus)","Rome","Antoninianus (radiate)","Base Silver","","","","","","","","","","","","","167","","","","","","","","","","",""
"263052","12933","ALDEIA DAS DEZ","40.294","-7.865","Portugal","268","270","","","Imperial","Gallienus (sole)","Gallienus (Augustus)","Milan (Mediolanum)","Antoninianus (radiate)","Base Silver","","","","","","","","","","","","","17","","","","","","","","","","",""
"263053","12933","ALDEIA DAS DEZ","40.294","-7.865","Portugal","268","270","","","Imperial","Gallienus (sole)","Gallienus (Augustus)","Siscia","Antoninianus (radiate)","Base Silver","","","","","","","","","","","","","3","","","","","","","","","","",""
"263054","12933","ALDEIA DAS DEZ","40.294","-7.865","Portugal","268","270","","","Imperial","Gallienus (sole)","Gallienus (Augustus)","Asia","Antoninianus (radiate)","Base Silver","","","","","","","","","","","","","1","","","","","","","","","","",""
"263055","12933","ALDEIA DAS DEZ","40.294","-7.865","Portugal","268","270","","","Imperial","Gallienus (sole)","Gallienus (Augustus)","","Antoninianus (radiate)","Base Silver","","","","","","","","","","","","","4","","","","","","","","","","",""
"263056","12933","ALDEIA DAS DEZ","40.294","-7.865","Portugal","268","270","","","Imperial","Gallienus (sole)","Salonina (Augusta)","Rome","Antoninianus (radiate)","Base Silver","","","","","","","","","","","","","14","","","","","","","","","","",""
"263057","12933","ALDEIA DAS DEZ","40.294","-7.865","Portugal","268","270","","","Imperial","Gallienus (sole)","Salonina (Augusta)","Rome","Denarius","Silver","","","","","","","","","","","","","1","","","","","","","","","","",""
"263058","12933","ALDEIA DAS DEZ","40.294","-7.865","Portugal","268","270","","","Imperial","Gallienus (sole)","Salonina (Augusta)","Milan (Mediolanum)","Antoninianus (radiate)","Base Silver","","","","","","","","","","","","","1","","","","","","","","","","",""
